Rank,Year,Number of Crashes
1,1944,943
2,1943,812
3,1945,737
4,1942,696
5,1951,491
6,1940,459
7,1950,425
8,1946,423
9,1978,408
10,1952,403
11,1948,390
12,1979,381
13,1980,379
14,1972,374
15,1977,373
16,1973,372
17,1947,371
18,1969,364
19,1967,353
20,1949,351
21,1987,341
22,1968,339
23,1953,337
24,1941,334
25,1975,331
26,1970,329
27,1981,320
28,1974,316
29,1971,311
30,1982,309
31,1976,306
32,1988,306
33,1985,296
34,1965,290
35,1954,289
36,1983,289
37,1984,284
38,1966,281
39,1955,277
40,1986,276
41,1993,275
42,1964,273
43,1958,272
44,1989,268
45,1995,266
46,1992,265
47,1957,263
48,1961,262
49,1962,262
50,1990,261
51,1996,250
52,1956,242
53,1959,242
54,1939,240
55,1929,239
56,1991,239
57,1960,234
58,1997,232
59,1994,231
60,1998,225
61,1999,221
62,1936,215
63,1963,211
64,2001,210
65,1938,203
66,2003,201
67,2002,198
68,2000,196
69,2005,194
70,2006,193
71,1928,191
72,2008,190
73,1930,183
74,1935,182
75,2004,179
76,2007,169
77,1931,164
78,1937,162
79,2010,162
80,2009,161
81,2012,156
82,2011,154
83,1933,151
84,1932,142
85,2013,141
86,1934,136
87,2015,127
88,2014,125
89,2019,125
90,2018,114
91,1927,109
92,2016,106
93,2017,102
94,1921,98
95,1920,96
96,1926,84
97,1922,80
98,1919,62
99,1925,56
100,1923,51
101,2020,41
102,1924,36
103,1918,12
